season,player_id,player,pos,team,grp,group,is_rookie,norm_name,adp_half_ppr,adp_overall_rank,adp_pos_rank,pred,sleeper,y,model
2023,00-0037539,Lucas Krull,TE,DEN,rook,rookie,1,lucas krull,571.8,519.0,104.0,-0.1,9.2,19.5,lightgbm
2023,00-0039074,Davis Allen,TE,LA,rook,rookie,1,davis allen,688.4,606.0,120.0,24.5,6.1,20.5,lightgbm
2023,00-0039050,Payne Durham,TE,TB,rook,rookie,1,payne durham,503.5,462.0,91.0,22.9,9.2,8.3,lightgbm
2023,00-0038720,Julian Hill,TE,MIA,rook,rookie,1,julian hill,410.5,372.0,76.0,4.8,9.3,5.8,lightgbm
2024,00-0039338,Brock Bowers,TE,LV,rook,rookie,1,brock bowers,83.2,83.0,9.0,83.4,159.1,206.7,lightgbm
2024,00-0039847,Theo Johnson,TE,NYG,rook,rookie,1,theo johnson,258.1,225.0,30.0,15.8,68.1,53.6,lightgbm
2024,00-0039356,Ja'Tavion Sanders,TE,CAR,rook,rookie,1,jatavion sanders,232.4,202.0,26.0,32.7,69.5,56.7,lightgbm
2024,00-0039814,Erick All,TE,CIN,rook,rookie,1,erick all,679.2,923.0,185.0,57.5,67.2,25.8,lightgbm
2024,00-0039359,Cade Stover,TE,HOU,rook,rookie,1,cade stover,606.9,729.0,147.0,32.3,29.4,26.8,lightgbm
2024,00-0038710,Blake Whiteheart,TE,CLE,rook,rookie,1,blake whiteheart,473.0,472.0,86.0,3.6,22.7,14.1,lightgbm
2024,00-0038498,E.J. Jenkins,TE,PHI,rook,rookie,1,ej jenkins,314.0,295.0,46.0,7.7,,7.2,lightgbm
2024,00-0039912,Ben Sinnott,TE,WAS,rook,rookie,1,ben sinnott,177.8,158.0,19.0,64.7,66.5,11.3,lightgbm
2024,00-0039613,Dallin Holker,TE,NO,rook,rookie,1,dallin holker,559.7,628.0,123.0,10.0,26.0,3.6,lightgbm
2024,00-0039420,Jaheim Bell,TE,NE,rook,rookie,1,jaheim bell,685.3,936.0,187.0,28.8,48.8,3.0000000000000004,lightgbm
2024,00-0039824,Jared Wiley,TE,KC,rook,rookie,1,jared wiley,599.5,717.0,142.0,24.8,24.8,1.2000000000000002,lightgbm
2024,00-0039686,Colson Yankoff,TE,WAS,rook,rookie,1,colson yankoff,611.5,742.0,152.0,2.1,,0.0,lightgbm
2025,00-0040663,Harold Fannin Jr.,TE,CLE,rook,rookie,1,harold fannin,268.3,268.0,39.0,53.9,68.0,150.4,lightgbm
2025,00-0040128,Tyler Warren,TE,IND,rook,rookie,1,tyler warren,87.8,87.0,9.0,79.6,121.6,150.5,lightgbm
2025,00-0040126,Colston Loveland,TE,CHI,rook,rookie,1,colston loveland,108.5,107.0,12.0,78.3,116.8,136.1,lightgbm
2025,00-0040189,Oronde Gadsden II,TE,LAC,rook,rookie,1,oronde gadsden,285.6,304.0,50.0,49.0,48.0,106.9,lightgbm
2025,00-0040736,Mason Taylor,TE,NYJ,rook,rookie,1,mason taylor,213.2,182.0,24.0,55.5,99.5,66.9,lightgbm
2025,00-0040584,Gunnar Helm,TE,TEN,rook,rookie,1,gunnar helm,696.2,1755.0,339.0,16.0,35.0,69.7,lightgbm
2025,00-0040737,Terrance Ferguson,TE,LA,rook,rookie,1,terrance ferguson,257.6,242.0,32.0,57.4,45.6,46.6,lightgbm
2025,00-0040194,Jackson Hawes,TE,BUF,rook,rookie,1,jackson hawes,653.7,1206.0,228.0,12.7,6.2,44.7,lightgbm
2025,00-0040187,Mitchell Evans,TE,CAR,rook,rookie,1,mitchell evans,698.0,1784.0,346.0,20.8,9.0,38.7,lightgbm
2025,00-0040739,Elijah Arroyo,TE,SEA,rook,rookie,1,elijah arroyo,231.9,195.0,26.0,48.3,88.0,29.4,lightgbm
2025,00-0037340,Zaire Mitchell-Paden,TE,BAL,rook,rookie,1,zaire mitchellpaden,594.7,852.0,168.0,3.6,3.0,2.7,lightgbm
2025,00-0040244,Moliki Matavao,TE,NO,rook,rookie,1,moliki matavao,301.7,329.0,57.0,21.7,,2.0,lightgbm
2025,00-0040509,Ben Yurosek,TE,MIN,rook,rookie,1,ben yurosek,305.0,334.0,59.0,3.9,,2.4,lightgbm
2025,00-0040488,Carter Runyon,TE,LV,rook,rookie,1,carter runyon,425.0,456.0,94.0,2.6,,0.8,lightgbm
2025,00-0039305,Jack Westover,TE,NE,rook,rookie,1,jack westover,694.0,1714.0,329.0,4.2,,0.5,lightgbm
2025,00-0038456,Travis Vokolek,TE,ARI,rook,rookie,1,travis vokolek,456.0,488.0,100.0,4.9,,0.0,lightgbm
2025,00-0039489,Hayden Rucci,TE,MIA,rook,rookie,1,hayden rucci,273.0,279.0,45.0,5.4,,0.0,lightgbm
2025,00-0040058,Nick Kallerup,TE,SEA,rook,rookie,1,nick kallerup,585.3,810.0,158.0,1.3,,0.0,lightgbm
2025,00-0040225,Thomas Fidone II,TE,NYG,rook,rookie,1,thomas fidone,683.0,1520.0,292.0,11.4,,0.0,lightgbm
2025,00-0040628,Drake Dabney,TE,TEN,rook,rookie,1,drake dabney,517.0,611.0,120.0,6.1,,0.8,lightgbm
2021,00-0036355,Justin Herbert,QB,LAC,vet,veteran,0,justin herbert,63.2,64.0,8.0,304.3,349.68,380.76,lightgbm
2021,00-0034857,Josh Allen,QB,BUF,vet,veteran,0,josh allen,34.1,35.0,2.0,257.5,404.22,402.58,lightgbm
2021,00-0035228,Kyler Murray,QB,ARI,vet,veteran,0,kyler murray,38.1,39.0,3.0,282.5,347.22,300.48,lightgbm
2021,00-0034796,Lamar Jackson,QB,BAL,vet,veteran,0,lamar jackson,46.6,47.0,4.0,321.8,363.34,239.98,lightgbm
2021,00-0019596,Tom Brady,QB,TB,vet,veteran,0,tom brady,78.8,78.0,9.0,294.5,332.9,374.74,lightgbm
2021,00-0023459,Aaron Rodgers,QB,GB,vet,veteran,0,aaron rodgers,62.0,62.0,7.0,283.0,349.1,332.8,lightgbm
2021,00-0036389,Jalen Hurts,QB,PHI,vet,veteran,0,jalen hurts,105.2,104.0,12.0,52.4,382.78,312.16,lightgbm
2021,00-0033077,Dak Prescott,QB,DAL,vet,veteran,0,dak prescott,58.0,58.0,6.0,166.9,348.32,320.56,lightgbm
2021,00-0029604,Kirk Cousins,QB,MIN,vet,veteran,0,kirk cousins,161.9,147.0,19.0,260.9,316.92,300.34000000000003,lightgbm
2021,00-0033873,Patrick Mahomes,QB,KC,vet,veteran,0,patrick mahomes,19.4,19.0,1.0,273.6,395.08,361.66,lightgbm
2021,00-0029263,Russell Wilson,QB,SEA,vet,veteran,0,russell wilson,55.7,56.0,5.0,292.1,334.9,242.82,lightgbm
2021,00-0031503,Jameis Winston,QB,NO,vet,veteran,0,jameis winston,178.8,156.0,20.0,55.2,248.78,117.4,lightgbm
2021,00-0036442,Joe Burrow,QB,CIN,vet,veteran,0,joe burrow,125.9,122.0,14.0,277.9,334.36,314.24,lightgbm
2021,00-0026498,Matthew Stafford,QB,LA,vet,veteran,0,matthew stafford,87.8,88.0,10.0,214.9,350.5,329.74,lightgbm
2021,00-0035710,Daniel Jones,QB,NYG,vet,veteran,0,daniel jones,233.3,198.0,29.0,133.7,307.1,167.02,lightgbm
2021,00-0032950,Carson Wentz,QB,IND,vet,veteran,0,carson wentz,231.8,197.0,28.0,115.8,245.04,258.02000000000004,lightgbm
2021,00-0029701,Ryan Tannehill,QB,TEN,vet,veteran,0,ryan tannehill,102.7,102.0,11.0,236.4,331.86,268.36,lightgbm
2021,00-0031280,Derek Carr,QB,LV,vet,veteran,0,derek carr,228.6,195.0,27.0,261.7,311.58,256.96000000000004,lightgbm
2021,00-0036212,Tua Tagovailoa,QB,MIA,vet,veteran,0,tua tagovailoa,183.4,161.0,22.0,168.8,248.48,180.92,lightgbm
2021,00-0030565,Geno Smith,QB,SEA,vet,veteran,0,geno smith,684.0,473.0,90.0,14.7,96.14,54.28,lightgbm
