player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0036187,Reggie Gilliam,RB,NE,JAX,2026,3,-0.08360240563475974,00-0036187,7204,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,4.0,4.0,0.23,none,,,,0.0,0.0,0.0,,,,,1.0,21.25,1.0
sleeper:13300,Le'Veon Moss,RB,MIA,KC,2026,3,-0.17535735490628976,,13300,synthetic_sleeper,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,8.0,4.0,0.0,none,,,,0.47089173282306473,0.7833466687191301,0.02821474009155652,,,,,26.0,17.25,1.0
00-0037744,Trey McBride,TE,ARI,SF,2026,3,10.007667096266333,00-0037744,8130,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,1.0,1.0,13.73,none,,,,,,,,,60.184888008226984,5.654656408530662,15.0,19.5,1.0
00-0033288,George Kittle,TE,SF,ARI,2026,3,8.824020848173186,00-0033288,4217,sleeper_gsis,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,1.0,1.0,10.28,none,,,,,,,,,53.01837850022081,3.841721577023406,13.0,28.0,1.0
00-0036970,Kyle Pitts,TE,ATL,GB,2026,3,7.050534858364747,00-0036970,7553,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,1.0,1.0,7.71,none,,,,,,,,,38.98095711213885,3.5051793053930633,19.0,19.0,1.0
00-0040128,Tyler Warren,TE,IND,HOU,2026,3,6.749830112136248,00-0040128,12518,historical_crosswalk,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,1.0,1.0,8.15,none,,,,,,,,,33.76912769676587,4.309922422663598,22.0,20.5,1.0
00-0040663,Harold Fannin,TE,CLE,CAR,2026,3,6.365342433917346,00-0040663,12506,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,1.0,1.0,7.16,none,,,,,,,,,28.6813952584799,2.9133075422585173,29.0,19.5,1.0
00-0030506,Travis Kelce,TE,KC,MIA,2026,3,6.192412635995225,00-0030506,1466,sleeper_gsis,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,1.0,1.0,9.75,none,,,,,,,,,47.158572648661675,3.73646346099574,32.0,28.75,1.0
00-0039065,Sam LaPorta,TE,DET,NYJ,2026,3,5.713136585721759,00-0039065,10859,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,1.0,1.0,9.91,none,,,,,,,,,43.33682191056076,2.924109990394723,18.0,27.25,1.0
00-0040126,Colston Loveland,TE,CHI,PHI,2026,3,5.3826552424347565,00-0040126,12517,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,1.0,1.0,8.22,none,,,,,,,,,25.95770463312956,2.6964527322165406,7.0,20.5,1.0
00-0036040,Juwan Johnson,TE,NO,LV,2026,3,5.373283637294797,00-0036040,7002,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,1.0,1.0,7.84,none,,,,,,,,,26.57286127107623,2.767718177663054,8.0,23.5,1.0
00-0039066,Michael Mayer,TE,LV,NO,2026,3,5.016544274058001,00-0039066,9482,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,2.0,2.0,3.46,none,,,,,,,,,30.71362285264932,2.740036306321657,31.0,20.5,1.0
00-0038996,Tucker Kraft,TE,GB,ATL,2026,3,4.515311587324223,00-0038996,9484,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,1.0,1.0,9.33,none,,,,,,,,,36.21695016029107,3.3637616242392654,24.0,25.5,1.0
00-0034753,Mark Andrews,TE,BAL,DAL,2026,3,4.489733813211953,00-0034753,5012,sleeper_gsis,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,1.0,1.0,9.51,none,,,,,,,,,33.90152070677528,3.3348679900137714,2.0,27.75,1.0
00-0040736,Mason Taylor,TE,NYJ,DET,2026,3,4.461915460997728,00-0040736,12498,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,2.0,2.0,2.66,Questionable,,,,,,,,,27.436180629016295,2.9956404586333885,30.0,20.75,0.5
00-0034383,Dalton Schultz,TE,HOU,IND,2026,3,4.392815571353318,00-0034383,5001,sleeper_gsis,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,1.0,1.0,8.3,none,,,,,,,,,30.824051101179535,2.7779305713294353,21.0,23.0,1.0
00-0033090,Hunter Henry,TE,NE,JAX,2026,3,4.368792554048183,00-0033090,3214,sleeper_gsis,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,1.0,1.0,8.43,none,,,,,,,,,19.676442891891142,2.188078777012214,1.0,21.25,1.0
00-0038041,Jake Ferguson,TE,DAL,BAL,2026,3,4.302669121647634,00-0038041,8110,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,1.0,1.0,6.91,none,,,,,,,,,16.25693042476666,2.1270727914828744,12.0,24.75,1.0
00-0038935,Brenton Strange,TE,JAX,NE,2026,3,3.873289715267296,00-0038935,9480,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,1.0,1.0,7.52,none,,,,,,,,,16.46646138664889,2.2965165526826885,3.0,24.25,1.0
00-0039793,AJ Barner,TE,SEA,WAS,2026,3,3.708486658899607,00-0039793,11603,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,1.0,1.0,7.12,none,,,,,,,,,16.008795675367054,2.2928127582607547,16.0,23.75,1.0
00-0031610,Darren Waller,TE,CAR,CLE,2026,3,3.699830982055008,00-0031610,2505,sleeper_gsis,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,1.0,1.0,6.71,none,,,,,,,,,30.11731554786934,2.5093017873538406,25.0,22.5,1.0
00-0036244,Colby Parkinson,TE,LA,DEN,2026,3,3.567066236772534,00-0036244,6865,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,1.0,1.0,4.05,none,,,,,,,,,21.070497622656053,2.4665877481295992,4.0,24.0,1.0
00-0037252,Greg Dulcich,TE,MIA,KC,2026,3,3.4418165311456628,00-0037252,8172,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,1.0,1.0,4.74,none,,,,,,,,,21.739977981793494,1.995941276636086,26.0,17.25,1.0
