season,team,week,game_id,head_coach,hc_person_id,pc_person_id
2024,SEA,4,2024_04_SEA_DET,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,4,2024_04_NE_SF,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,4,2024_04_PHI_TB,Todd Bowles,todd_bowles,liam_coen
2024,TEN,4,2024_04_TEN_MIA,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,4,2024_04_WAS_ARI,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,5,2024_05_ARI_SF,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,5,2024_05_TB_ATL,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,5,2024_05_BAL_CIN,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,5,2024_05_BUF_HOU,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,5,2024_05_CAR_CHI,Dave Canales,dave_canales,dave_canales
2024,CHI,5,2024_05_CAR_CHI,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,5,2024_05_BAL_CIN,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,5,2024_05_CLE_WAS,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,5,2024_05_DAL_PIT,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,5,2024_05_LV_DEN,Sean Payton,sean_payton,sean_payton
2024,GB,5,2024_05_GB_LA,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,5,2024_05_BUF_HOU,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,5,2024_05_IND_JAX,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,5,2024_05_IND_JAX,Doug Pederson,doug_pederson,press_taylor
2024,KC,5,2024_05_NO_KC,Andy Reid,andy_reid,andy_reid
2024,LA,5,2024_05_GB_LA,Sean McVay,sean_mcvay,sean_mcvay
2024,LV,5,2024_05_LV_DEN,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,5,2024_05_MIA_NE,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,5,2024_05_NYJ_MIN,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,5,2024_05_MIA_NE,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,5,2024_05_NO_KC,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,5,2024_05_NYG_SEA,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,5,2024_05_NYJ_MIN,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PIT,5,2024_05_DAL_PIT,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,5,2024_05_NYG_SEA,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,5,2024_05_ARI_SF,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,5,2024_05_TB_ATL,Todd Bowles,todd_bowles,liam_coen
2024,WAS,5,2024_05_CLE_WAS,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,6,2024_06_ARI_GB,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,6,2024_06_ATL_CAR,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,6,2024_06_WAS_BAL,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,6,2024_06_BUF_NYJ,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,6,2024_06_ATL_CAR,Dave Canales,dave_canales,dave_canales
2024,CHI,6,2024_06_JAX_CHI,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,6,2024_06_CIN_NYG,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,6,2024_06_CLE_PHI,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,6,2024_06_DET_DAL,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,6,2024_06_LAC_DEN,Sean Payton,sean_payton,sean_payton
2024,DET,6,2024_06_DET_DAL,Dan Campbell,dan_campbell,ben_johnson
2024,GB,6,2024_06_ARI_GB,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,6,2024_06_HOU_NE,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,6,2024_06_IND_TEN,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,6,2024_06_JAX_CHI,Doug Pederson,doug_pederson,press_taylor
2024,LAC,6,2024_06_LAC_DEN,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,6,2024_06_PIT_LV,Antonio Pierce,antonio_pierce,luke_getsy
2024,NE,6,2024_06_HOU_NE,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,6,2024_06_TB_NO,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,6,2024_06_CIN_NYG,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,6,2024_06_BUF_NYJ,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,6,2024_06_CLE_PHI,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,6,2024_06_PIT_LV,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,6,2024_06_SF_SEA,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,6,2024_06_SF_SEA,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,6,2024_06_TB_NO,Todd Bowles,todd_bowles,liam_coen
2024,TEN,6,2024_06_IND_TEN,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,6,2024_06_WAS_BAL,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,7,2024_07_LAC_ARI,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,7,2024_07_SEA_ATL,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,7,2024_07_BAL_TB,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,7,2024_07_TEN_BUF,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,7,2024_07_CAR_WAS,Dave Canales,dave_canales,dave_canales
2024,CIN,7,2024_07_CIN_CLE,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,7,2024_07_CIN_CLE,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DEN,7,2024_07_DEN_NO,Sean Payton,sean_payton,sean_payton
2024,DET,7,2024_07_DET_MIN,Dan Campbell,dan_campbell,ben_johnson
2024,GB,7,2024_07_HOU_GB,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,7,2024_07_HOU_GB,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,7,2024_07_MIA_IND,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,7,2024_07_NE_JAX,Doug Pederson,doug_pederson,press_taylor
2024,KC,7,2024_07_KC_SF,Andy Reid,andy_reid,andy_reid
2024,LA,7,2024_07_LV_LA,Sean McVay,sean_mcvay,sean_mcvay
2024,LAC,7,2024_07_LAC_ARI,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,7,2024_07_LV_LA,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,7,2024_07_MIA_IND,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,7,2024_07_DET_MIN,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,7,2024_07_NE_JAX,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,7,2024_07_DEN_NO,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,7,2024_07_PHI_NYG,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,7,2024_07_NYJ_PIT,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,7,2024_07_PHI_NYG,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,7,2024_07_NYJ_PIT,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,7,2024_07_SEA_ATL,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,7,2024_07_KC_SF,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,7,2024_07_BAL_TB,Todd Bowles,todd_bowles,liam_coen
2024,TEN,7,2024_07_TEN_BUF,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,7,2024_07_CAR_WAS,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,8,2024_08_ARI_MIA,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,8,2024_08_ATL_TB,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,8,2024_08_BAL_CLE,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,8,2024_08_BUF_SEA,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,8,2024_08_CAR_DEN,Dave Canales,dave_canales,dave_canales
2024,CHI,8,2024_08_CHI_WAS,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,8,2024_08_PHI_CIN,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,8,2024_08_BAL_CLE,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,8,2024_08_DAL_SF,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,8,2024_08_CAR_DEN,Sean Payton,sean_payton,sean_payton
2024,DET,8,2024_08_TEN_DET,Dan Campbell,dan_campbell,ben_johnson
2024,GB,8,2024_08_GB_JAX,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,8,2024_08_IND_HOU,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,8,2024_08_IND_HOU,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,8,2024_08_GB_JAX,Doug Pederson,doug_pederson,press_taylor
2024,KC,8,2024_08_KC_LV,Andy Reid,andy_reid,andy_reid
2024,LA,8,2024_08_MIN_LA,Sean McVay,sean_mcvay,sean_mcvay
