season,team,person_id,role,games,team_games,exposure
2015,HOU,bill_obrien,noncalling_hc_context,16,16,1.0
2015,IND,chuck_pagano,noncalling_hc_context,16,16,1.0
2015,JAX,gus_bradley,noncalling_hc_context,16,16,1.0
2015,LA,jeff_fisher,noncalling_hc_context,16,16,1.0
2015,LAC,mike_mccoy,noncalling_hc_context,16,16,1.0
2015,LV,jack_del_rio,noncalling_hc_context,16,16,1.0
2015,MIA,joe_philbin,noncalling_hc_context,16,16,1.0
2015,MIN,mike_zimmer,noncalling_hc_context,16,16,1.0
2015,NE,bill_belichick,noncalling_hc_context,16,16,1.0
2015,NYG,tom_coughlin,noncalling_hc_context,16,16,1.0
2015,NYJ,todd_bowles,noncalling_hc_context,16,16,1.0
2015,PHI,pat_shurmur,noncalling_hc_context,1,16,0.0625
2015,PIT,mike_tomlin,noncalling_hc_context,16,16,1.0
2015,SEA,pete_carroll,noncalling_hc_context,16,16,1.0
2015,SF,jim_tomsula,noncalling_hc_context,16,16,1.0
2015,TB,lovie_smith,noncalling_hc_context,16,16,1.0
2015,TEN,ken_whisenhunt,noncalling_hc_context,9,16,0.5625
2015,WAS,jay_gruden,noncalling_hc_context,16,16,1.0
2016,ATL,dan_quinn,noncalling_hc_context,16,16,1.0
2016,BAL,john_harbaugh,noncalling_hc_context,16,16,1.0
2016,BUF,rex_ryan,noncalling_hc_context,15,16,0.9375
2016,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
2016,DAL,jason_garrett,noncalling_hc_context,16,16,1.0
2016,DET,jim_caldwell,noncalling_hc_context,16,16,1.0
2016,HOU,bill_obrien,noncalling_hc_context,3,16,0.1875
2016,IND,chuck_pagano,noncalling_hc_context,16,16,1.0
2016,JAX,doug_marrone,noncalling_hc_context,2,16,0.125
2016,JAX,gus_bradley,noncalling_hc_context,14,16,0.875
2016,LA,jeff_fisher,noncalling_hc_context,16,16,1.0
2016,LV,jack_del_rio,noncalling_hc_context,16,16,1.0
2016,MIN,mike_zimmer,noncalling_hc_context,16,16,1.0
2016,NE,bill_belichick,noncalling_hc_context,16,16,1.0
2016,NYJ,todd_bowles,noncalling_hc_context,16,16,1.0
2016,PIT,mike_tomlin,noncalling_hc_context,16,16,1.0
2016,SEA,pete_carroll,noncalling_hc_context,16,16,1.0
2016,TEN,mike_mularkey,noncalling_hc_context,16,16,1.0
2016,WAS,jay_gruden,noncalling_hc_context,16,16,1.0
2017,ATL,dan_quinn,noncalling_hc_context,16,16,1.0
2017,BAL,john_harbaugh,noncalling_hc_context,16,16,1.0
2017,BUF,sean_mcdermott,noncalling_hc_context,16,16,1.0
2017,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
2017,CHI,john_fox,noncalling_hc_context,16,16,1.0
2017,CIN,marvin_lewis,noncalling_hc_context,16,16,1.0
2017,DAL,jason_garrett,noncalling_hc_context,16,16,1.0
2017,DEN,vance_joseph,noncalling_hc_context,16,16,1.0
2017,DET,jim_caldwell,noncalling_hc_context,16,16,1.0
2017,IND,chuck_pagano,noncalling_hc_context,16,16,1.0
2017,JAX,doug_marrone,noncalling_hc_context,16,16,1.0
2017,KC,andy_reid,noncalling_hc_context,5,16,0.3125
2017,LAC,anthony_lynn,noncalling_hc_context,16,16,1.0
2017,LV,jack_del_rio,noncalling_hc_context,16,16,1.0
2017,MIN,mike_zimmer,noncalling_hc_context,16,16,1.0
2017,NE,bill_belichick,noncalling_hc_context,16,16,1.0
2017,NYG,ben_mcadoo,noncalling_hc_context,7,16,0.4375
2017,NYG,steve_spagnuolo,noncalling_hc_context,4,16,0.25
2017,NYJ,todd_bowles,noncalling_hc_context,16,16,1.0
2017,PIT,mike_tomlin,noncalling_hc_context,16,16,1.0
2017,SEA,pete_carroll,noncalling_hc_context,16,16,1.0
2017,TEN,mike_mularkey,noncalling_hc_context,16,16,1.0
2018,ARI,steve_wilks,noncalling_hc_context,16,16,1.0
2018,ATL,dan_quinn,noncalling_hc_context,16,16,1.0
2018,BAL,john_harbaugh,noncalling_hc_context,16,16,1.0
2018,BUF,sean_mcdermott,noncalling_hc_context,16,16,1.0
2018,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
2018,CIN,marvin_lewis,noncalling_hc_context,16,16,1.0
2018,CLE,gregg_williams,noncalling_hc_context,8,16,0.5
2018,CLE,hue_jackson,noncalling_hc_context,8,16,0.5
2018,DAL,jason_garrett,noncalling_hc_context,16,16,1.0
2018,DEN,vance_joseph,noncalling_hc_context,16,16,1.0
2018,DET,matt_patricia,noncalling_hc_context,16,16,1.0
2018,GB,joe_philbin,noncalling_hc_context,4,16,0.25
2018,JAX,doug_marrone,noncalling_hc_context,16,16,1.0
2018,LAC,anthony_lynn,noncalling_hc_context,16,16,1.0
2018,MIN,mike_zimmer,noncalling_hc_context,16,16,1.0
2018,NE,bill_belichick,noncalling_hc_context,16,16,1.0
2018,NYJ,todd_bowles,noncalling_hc_context,16,16,1.0
2018,PIT,mike_tomlin,noncalling_hc_context,16,16,1.0
2018,SEA,pete_carroll,noncalling_hc_context,16,16,1.0
2018,TEN,mike_vrabel,noncalling_hc_context,16,16,1.0
2019,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
