player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees,actual_rank,actual_total,injured
Cam Ward,QB,TEN,160.6016298395916,24.0,20.0,-4.0,,,,,,0,23.27173169062286,21.0,1.0,16.0,186.66,False
Trevor Lawrence,QB,JAX,190.1976067648747,21.0,21.0,0.0,,,,,,4,25.905544147843944,12.0,,4.0,338.17999999999995,False
Michael Penix Jr.,QB,ATL,165.87640117194496,23.0,22.0,-1.0,,,,,,1,25.31690622861054,22.0,0.0,22.0,120.28,True
Tua Tagovailoa,QB,MIA,220.1876443649243,13.0,23.0,10.0,,,,,returning from injury,5,27.50171115674196,20.0,1.0,18.0,160.70000000000002,False
Matthew Stafford,QB,LA,222.09995382622904,12.0,24.0,12.0,BUY,HIGH,,,,14,37.56605065023956,17.0,1.0,3.0,350.38,False
Bijan Robinson,RB,ATL,213.00927186064564,2.0,1.0,-1.0,,,,,,2,23.586584531143053,2.0,1.0,3.0,331.3,False
Saquon Barkley,RB,PHI,197.98348020622683,4.0,2.0,-2.0,,,,,,7,28.55852156057495,1.0,0.0,14.0,213.8,False
Jahmyr Gibbs,RB,DET,224.89864609036437,1.0,3.0,2.0,,,,,,2,23.45242984257358,3.0,0.0,4.0,328.4,False
Christian McCaffrey,RB,SF,172.28803423996783,13.0,4.0,-9.0,,,,,returning from injury,8,29.234770704996578,7.0,1.0,1.0,365.6,False
Derrick Henry,RB,BAL,188.51253517894511,7.0,5.0,-2.0,,,,,,9,31.65776865160849,4.0,0.0,7.0,272.0,False
Ashton Jeanty,RB,LV,141.96448623930993,19.0,6.0,-13.0,,,,,,0,21.749486652977414,5.0,0.0,13.0,217.60000000000002,False
Josh Jacobs,RB,GB,177.41624179049018,11.0,7.0,-4.0,,,,,,6,27.55373032169747,6.0,0.0,12.0,219.1,False
De'Von Achane,RB,MIA,204.97915379321407,3.0,8.0,5.0,BUY,MEDIUM,,,,2,23.88501026694045,9.0,0.0,5.0,289.3,False
Jonathan Taylor,RB,IND,197.4702600238859,5.0,9.0,4.0,,,,,,5,26.61738535249829,8.0,1.0,2.0,339.3,False
Bucky Irving,RB,TB,175.09855429683512,12.0,10.0,-2.0,,,,,,1,23.0362765229295,11.0,1.0,31.0,123.5,True
Kyren Williams,RB,LA,165.62368454236676,14.0,11.0,-3.0,,,,,,3,25.01574264202601,12.0,1.0,9.0,245.3,False
Chase Brown,RB,CIN,157.57300294103155,17.0,12.0,-5.0,,,,,,2,25.44832306639288,10.0,0.0,8.0,248.1,False
James Cook,RB,BUF,134.17558385991782,22.0,13.0,-9.0,,,,,,3,25.935660506502398,14.0,1.0,6.0,285.7,False
Omarion Hampton,RB,LAC,129.26590262879114,23.0,14.0,-9.0,,,,,,0,22.46406570841889,13.0,0.0,34.0,119.7,True
Breece Hall,RB,NYJ,183.1830636064214,8.0,15.0,7.0,BUY,MEDIUM,,,,3,24.254620123203285,18.0,0.0,18.0,189.66,False
Alvin Kamara,RB,NO,181.89114564178638,10.0,16.0,6.0,BUY,MEDIUM,,,,8,30.105407255304584,16.0,0.0,41.0,84.2,False
Kenneth Walker III,RB,SEA,189.1347044894255,6.0,17.0,11.0,,,,returning starter,,3,24.865160848733744,25.0,0.0,21.0,176.4,False
Chuba Hubbard,RB,CAR,161.56391779201792,16.0,18.0,2.0,,,,,,4,26.2258726899384,17.0,1.0,37.0,110.4,False
TreVeyon Henderson,RB,NE,92.09855244119935,43.0,19.0,-24.0,,,,,,0,22.86105407255305,20.0,1.0,19.0,188.7,False
