week,position,slp_proj,name,norm_name
9,QB,17.85,Tua Tagovailoa,tua tagovailoa
1,QB,17.85,Michael Penix,michael penix
3,QB,17.84,Matthew Stafford,matthew stafford
13,RB,17.83,Derrick Henry,derrick henry
6,QB,17.83,Michael Penix,michael penix
13,QB,17.82,Tua Tagovailoa,tua tagovailoa
6,QB,17.8,Spencer Rattler,spencer rattler
1,QB,17.79,Aaron Rodgers,aaron rodgers
1,RB,17.79,De'Von Achane,devon achane
6,QB,17.77,Mac Jones,mac jones
11,WR,17.77,Jaxon Smith-Njigba,jaxon smithnjigba
16,RB,17.76,James Cook,james cook
15,QB,17.75,Shedeur Sanders,shedeur sanders
12,QB,17.74,Mason Rudolph,mason rudolph
6,RB,17.74,Jahmyr Gibbs,jahmyr gibbs
6,RB,17.74,Bijan Robinson,bijan robinson
18,WR,17.73,Jaxon Smith-Njigba,jaxon smithnjigba
1,QB,17.71,Bryce Young,bryce young
15,QB,17.7,Bryce Young,bryce young
2,QB,17.69,C.J. Stroud,cj stroud
18,WR,17.66,Puka Nacua,puka nacua
9,RB,17.66,Josh Jacobs,josh jacobs
5,RB,17.66,Jahmyr Gibbs,jahmyr gibbs
17,QB,17.64,Josh Johnson,josh johnson
5,QB,17.64,Matthew Stafford,matthew stafford
5,RB,17.63,Derrick Henry,derrick henry
13,QB,17.62,Geno Smith,geno smith
10,QB,17.61,Bryce Young,bryce young
8,QB,17.61,Caleb Williams,caleb williams
11,WR,17.6,Amon-Ra St. Brown,amonra st brown
2,QB,17.59,Matthew Stafford,matthew stafford
17,QB,17.59,C.J. Stroud,cj stroud
4,RB,17.59,Jahmyr Gibbs,jahmyr gibbs
16,RB,17.59,De'Von Achane,devon achane
4,RB,17.59,De'Von Achane,devon achane
10,RB,17.58,Bijan Robinson,bijan robinson
10,RB,17.58,De'Von Achane,devon achane
11,RB,17.58,Jahmyr Gibbs,jahmyr gibbs
9,WR,17.56,Ja'Marr Chase,jamarr chase
2,RB,17.55,Saquon Barkley,saquon barkley
3,QB,17.54,Tyrod Taylor,tyrod taylor
15,WR,17.53,Puka Nacua,puka nacua
15,QB,17.53,Jordan Love,jordan love
11,QB,17.53,Michael Penix,michael penix
5,QB,17.52,Spencer Rattler,spencer rattler
8,RB,17.52,Rachaad White,rachaad white
1,RB,17.51,Christian McCaffrey,christian mccaffrey
14,QB,17.49,C.J. Stroud,cj stroud
9,WR,17.47,Puka Nacua,puka nacua
4,QB,17.47,Michael Penix,michael penix
4,RB,17.46,Bijan Robinson,bijan robinson
9,RB,17.44,Derrick Henry,derrick henry
8,QB,17.42,Carson Wentz,carson wentz
14,RB,17.42,James Cook,james cook
10,RB,17.41,James Cook,james cook
11,WR,17.41,Puka Nacua,puka nacua
3,RB,17.39,Jahmyr Gibbs,jahmyr gibbs
12,QB,17.39,J.J. McCarthy,jj mccarthy
15,RB,17.38,De'Von Achane,devon achane
16,QB,17.36,Gardner Minshew,gardner minshew
14,QB,17.36,Caleb Williams,caleb williams
