player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0033893,Dalvin Cook,RB,DAL,PHI,2025-11-23,4.51,25.25,2.0,1.0,1,0.0876025690281826,0.4285714285714285,0.5569222444222444,8,7,,,23.35,6.76,,,,
00-0031687,Raheem Mostert,RB,LV,CLE,2025-11-23,4.47,16.25,2.0,1.0,1,-0.2095284627489942,0.6153846153846154,0.681984681984682,27,2,,,19.16,7.07,,,,
00-0037256,Rachaad White,RB,TB,LA,2025-11-23,4.4,28.25,3.0,1.0,0,0.0114114413538503,0.4,0.3117715617715617,15,28,,,23.14,5.81,,,,
00-0036569,Gary Brightwell,RB,CIN,NE,2025-11-23,4.3,29.0,2.0,1.0,1,0.0448989351680796,0.8181818181818182,0.5255577755577756,13,12,,,16.87,7.57,,,,
00-0033923,Kareem Hunt,RB,KC,IND,2025-11-23,4.27,23.5,2.0,1.0,1,-0.1152884611769509,0.8,0.4682609057609058,25,17,,,23.66,3.77,,,,
00-0035311,Myles Gaskin,RB,MIN,GB,2025-11-23,4.18,24.0,2.0,1.0,0,-0.0559571697535418,0.6666666666666666,0.3954170829170829,21,26,,,14.16,9.09,,,,
00-0036414,Cam Akers,RB,SEA,TEN,2025-11-23,4.13,14.5,2.0,1.0,0,-0.0089089855616453,0.5333333333333333,0.5245171495171495,18,13,,,17.89,4.34,,,,
00-0033948,Jamaal Williams,RB,NO,ATL,2025-11-23,4.12,20.0,2.0,1.0,1,-0.0114811011743694,0.2,0.4249292374292374,19,22,,,18.75,7.5,,,,
00-0040556,Corey Kiner,RB,ARI,JAX,2025-11-23,4.12,25.0,2.0,1.0,1,-0.0200817692320336,0.3333333333333333,0.5669955044955045,20,5,,,27.72,7.37,,,,
00-0034791,Nick Chubb,RB,HOU,BUF,2025-11-20,3.98,24.5,2.0,1.0,1,0.0063511369932493,0.1428571428571428,0.4002247752247752,16,25,,,19.91,7.89,,,,
00-0038636,Kenny McIntosh,RB,SEA,TEN,2025-11-23,3.92,14.5,4.0,1.0,0,-0.0089089855616453,0.2666666666666666,0.5245171495171495,18,13,,,24.21,4.5,,,,
00-0038622,Deuce Vaughn,RB,DAL,PHI,2025-11-23,3.91,25.25,2.0,1.0,1,0.0876025690281826,0.6,0.5569222444222444,8,7,,,26.42,4.53,,,,
00-0038951,Sean Tucker,RB,TB,LA,2025-11-23,3.87,28.25,2.0,1.0,0,0.0114114413538503,0.4,0.3117715617715617,15,28,,,18.18,4.44,,,,
00-0038685,Chris Brooks,RB,GB,MIN,2025-11-23,3.76,17.5,3.0,1.0,1,0.1529564013719251,0.4666666666666667,0.7367007992007992,6,1,,,14.22,10.89,,,,
00-0037746,Brian Robinson,RB,SF,CAR,2025-11-24,3.74,20.5,2.0,1.0,1,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,27,,,20.18,7.68,,,,
00-0040179,DJ Giddens,RB,IND,KC,2025-11-23,3.73,27.0,4.0,1.0,0,-0.1099062493798814,0.25,0.6739094239094239,24,3,,,15.76,4.74,,,,
00-0032104,Ameer Abdullah,RB,IND,KC,2025-11-23,3.7,27.0,3.0,1.0,0,-0.1099062493798814,0.7333333333333333,0.6739094239094239,24,3,,,12.55,8.48,,,,
00-0036984,Trey Sermon,RB,PIT,CHI,2025-11-23,3.7,24.75,2.0,1.0,0,0.069888843890464,0.875,0.5423326673326674,10,9,,,16.03,8.35,,,,
00-0035973,Patrick Taylor,RB,SF,CAR,2025-11-24,3.66,20.5,5.0,1.0,1,0.1645314529215629,0.4285714285714285,0.3858641358641358,3,27,,,31.32,4.79,,,,
