player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
00-0040128,Tyler Warren,TE,IND,KC,2026,2,5.657273745072205,00-0040128,12518,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,9.07,none
00-0034351,Dallas Goedert,TE,PHI,TEN,2026,2,5.52524332729285,00-0034351,5022,sleeper_gsis,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,8.1,none
00-0033090,Hunter Henry,TE,NE,PIT,2026,2,4.885339643596413,00-0033090,3214,sleeper_gsis,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,8.25,none
00-0038041,Jake Ferguson,TE,DAL,WAS,2026,2,4.7673526558888515,00-0038041,8110,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,8.23,none
00-0039793,AJ Barner,TE,SEA,ARI,2026,2,4.655019075153457,00-0039793,11603,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,6.86,none
00-0038996,Tucker Kraft,TE,GB,NYJ,2026,2,4.6355560824120685,00-0038996,9484,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,10.75,none
00-0031610,Darren Waller,TE,CAR,ATL,2026,2,4.575665305750422,00-0031610,2505,sleeper_gsis,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,5.19,none
00-0034383,Dalton Schultz,TE,HOU,CIN,2026,2,4.55090263269832,00-0034383,5001,sleeper_gsis,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,7.98,none
00-0040189,Oronde Gadsden,TE,LAC,LV,2026,2,4.477163427628272,00-0040189,12493,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,2.0,3.79,none
00-0037809,Chig Okonkwo,TE,WAS,DAL,2026,2,4.311877829337811,00-0037809,8210,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,6.62,Questionable
00-0036244,Colby Parkinson,TE,LA,NYG,2026,2,4.158106665650092,00-0036244,6865,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,2.0,2.0,4.29,none
00-0039066,Michael Mayer,TE,LV,LAC,2026,2,4.0628098265331545,00-0039066,9482,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,2.0,2.75,none
00-0039065,Sam LaPorta,TE,DET,BUF,2026,2,4.01225577757776,00-0039065,10859,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,8.98,none
00-0035689,Dawson Knox,TE,BUF,DET,2026,2,3.901470943610561,00-0035689,5906,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,2.0,2.0,3.46,none
00-0040736,Mason Taylor,TE,NYJ,GB,2026,2,3.880803149618373,00-0040736,12498,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,2.0,2.0,3.63,none
00-0036040,Juwan Johnson,TE,NO,BAL,2026,2,3.6279707466630526,00-0036040,7002,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,7.72,none
00-0034753,Mark Andrews,TE,BAL,NO,2026,2,3.6134285832034436,00-0034753,5012,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,8.26,none
00-0038935,Brenton Strange,TE,JAX,DEN,2026,2,3.5344637044529965,00-0038935,9480,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,6.16,none
00-0037252,Greg Dulcich,TE,MIA,SF,2026,2,3.3955004211342636,00-0037252,8172,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,4.4,none
00-0039847,Theo Johnson,TE,NYG,LA,2026,2,2.8590557002042045,00-0039847,11597,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,2.0,2.0,2.73,none
00-0038129,Cade Otton,TE,TB,CLE,2026,2,2.6736976598561784,00-0038129,8111,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,5.43,none
00-0036894,Pat Freiermuth,TE,PIT,NE,2026,2,2.4679237471283373,00-0036894,7600,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,6.97,none
00-0035229,T.J. Hockenson,TE,MIN,CHI,2026,2,2.3088401828651484,00-0035229,5844,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,7.31,none
00-0040737,Terrance Ferguson,TE,LA,NYG,2026,2,2.2227369476230487,00-0040737,12487,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,2.92,none
00-0037112,Jake Tonges,TE,SF,MIA,2026,2,2.1932404445597156,00-0037112,8698,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,2.0,2.0,1.91,Questionable
