game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_10_KC_BUF,BUF00,2014-11-09T18:00:00,72528,Buffalo Airport,42.1,11.4,0.0,67.0,meteostat
2014_10_DAL_JAX,LON00,2014-11-09T18:00:00,03672,Northolt,48.9,4.7,,74.0,meteostat
2014_10_PIT_NYJ,NYC01,2014-11-09T18:00:00,KTEB0,Teterboro,57.0,8.1,0.0,37.0,meteostat
2014_10_ATL_TB,TAM00,2014-11-09T18:00:00,72211,Tampa International Airport,64.9,7.0,0.0,73.0,meteostat
2014_10_DEN_OAK,OAK00,2014-11-09T21:05:00,72493,Metro Oakland International  Airport,66.9,3.4,0.0,63.0,meteostat
2014_10_NYG_SEA,SEA00,2014-11-09T21:25:00,KBFI0,Seattle / South Park,57.0,8.1,0.0,77.0,meteostat
2014_10_CHI_GB,GNB00,2014-11-10T01:30:00,72645,Austin Straubel International  Airport,34.0,4.7,0.0,88.0,meteostat
2014_10_CAR_PHI,PHI00,2014-11-11T01:30:00,72408,Philadelphia International Airport,50.0,0.0,0.0,66.0,meteostat
2014_11_BUF_MIA,MIA00,2014-11-14T01:25:00,KHWO0,Hollywood / Pembroke Pines,73.9,3.4,0.0,74.0,meteostat
2014_11_ATL_CAR,CAR00,2014-11-16T18:00:00,72314,Charlotte/Douglas International Airport,52.0,0.0,0.0,27.0,meteostat
2014_11_MIN_CHI,CHI98,2014-11-16T18:00:00,72534,Chicago Midway Airport,33.1,9.2,,75.0,meteostat
2014_11_HOU_CLE,CLE00,2014-11-16T18:00:00,KBKL0,Brookville / Old Chinatown,34.0,12.7,0.0,59.0,meteostat
2014_11_SEA_KC,KAN00,2014-11-16T18:00:00,KMKC0,Kansas City / Harlem,19.9,10.3,0.0,68.0,meteostat
2014_11_SF_NYG,NYC01,2014-11-16T18:00:00,KTEB0,Teterboro,42.1,5.8,0.0,49.0,meteostat
2014_11_TB_WAS,WAS00,2014-11-16T18:00:00,KCGS0,College Park / Lakeland,44.6,8.1,,39.0,meteostat
2014_11_OAK_SD,SDG00,2014-11-16T21:05:00,72290,San Diego International Airport,71.1,8.1,0.0,47.0,meteostat
2014_11_PHI_GB,GNB00,2014-11-16T21:25:00,72645,Austin Straubel International  Airport,28.0,12.7,0.0,71.0,meteostat
2014_11_PIT_TEN,NAS00,2014-11-18T01:30:00,72327,Nashville Airport,27.0,9.2,0.0,58.0,meteostat
2014_12_KC_OAK,OAK00,2014-11-21T01:25:00,72493,Metro Oakland International  Airport,57.0,3.4,,90.0,meteostat
2014_12_TB_CHI,CHI98,2014-11-23T18:00:00,72534,Chicago Midway Airport,54.0,11.4,,77.0,meteostat
2014_12_GB_MIN,MIN98,2014-11-23T18:00:00,KSTP0,Saint Paul,46.9,0.0,,100.0,meteostat
